Kalenderwoche_show,2022,Mittelwert
2022W1,-101.0,-159.04545454545453
2022W2,-318.0,-326.59090909090907
2022W3,-354.0,-345.59090909090907
2022W4,-387.0,-388.95454545454544
2022W5,-276.0,-340.8181818181818
2022W6,-166.0,-325.09090909090907
2022W7,-153.0,-323.22727272727275
2022W8,-173.0,-316.5
2022W9,-260.0,-315.1818181818182
2022W10,-159.0,-256.40909090909093
2022W11,-172.0,-199.13636363636363
2022W12,-87.0,-158.72727272727272
2022W13,-236.0,-164.0909090909091
2022W14,-129.0,-132.04545454545453
2022W15,64.0,-111.45454545454545
2022W16,27.0,-39.81818181818182
2022W17,1.0,43.63636363636363
2022W18,-31.0,109.86363636363636
2022W19,285.0,175.95454545454547
2022W20,589.0,192.5
2022W21,530.0,324.8636363636364
2022W22,332.0,405.5
2022W23,322.0,488.77272727272725
2022W24,292.0,572.3181818181819
2022W25,285.0,545.9545454545455
2022W26,457.0,477.3181818181818
2022W27,374.0,456.8181818181818
2022W28,354.0,406.6363636363636
2022W29,241.0,322.77272727272725
2022W30,235.0,341.40909090909093
2022W31,335.0,371.04545454545456
2022W32,313.0,294.45454545454544
2022W33,135.0,262.95454545454544
2022W34,108.0,179.54545454545453
2022W35,136.0,134.6818181818182
2022W36,114.0,94.5909090909091
2022W37,104.0,28.136363636363637
2022W38,-48.0,12.363636363636363
2022W39,78.0,-52.63636363636363
2022W40,36.0,-17.181818181818183
2022W41,11.0,-41.31818181818182
2022W42,137.0,-121.63636363636364
2022W43,191.0,-116.86363636363636
2022W44,-26.0,-90.63636363636364
2022W45,-34.0,-140.04545454545453
2022W46,-83.0,-197.77272727272728
2022W47,-15.0,-246.77272727272728
2022W48,-285.0,-297.22727272727275
2022W49,-307.0,-287.1363636363636
2022W50,-389.0,-369.77272727272725
2022W51,,-293.6818181818182
2022W52,,-71.66666666666667
2022W53,,-63.0
