,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2021-01-01 06:00,2021-01-02 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,108,2021-02-17 20:13,,Confirmed,yes,,yes,,
1,Physical Flow,day,2021-01-02 06:00,2021-01-03 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
2,Physical Flow,day,2021-01-03 06:00,2021-01-04 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
3,Physical Flow,day,2021-01-04 06:00,2021-01-05 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,2,2021-02-17 20:13,,Confirmed,yes,,yes,,
4,Physical Flow,day,2021-01-05 06:00,2021-01-06 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
5,Physical Flow,day,2021-01-06 06:00,2021-01-07 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
6,Physical Flow,day,2021-01-07 06:00,2021-01-08 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
7,Physical Flow,day,2021-01-08 06:00,2021-01-09 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
8,Physical Flow,day,2021-01-09 06:00,2021-01-10 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
9,Physical Flow,day,2021-01-10 06:00,2021-01-11 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
10,Physical Flow,day,2021-01-11 06:00,2021-01-12 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,89,2021-02-17 20:13,,Confirmed,yes,,yes,,
11,Physical Flow,day,2021-01-12 06:00,2021-01-13 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,0,2021-02-17 20:13,,Confirmed,yes,,yes,,
12,Physical Flow,day,2021-01-13 06:00,2021-01-14 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,98,2021-02-17 20:13,,Confirmed,yes,,yes,,
