,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2017-01-01 06:00,2017-01-02 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,4318385,2022-01-24 10:35,,Confirmed,yes,,yes,,
1,Physical Flow,day,2017-01-02 06:00,2017-01-03 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,4797373,2022-01-24 10:35,,Confirmed,yes,,yes,,
2,Physical Flow,day,2017-01-03 06:00,2017-01-04 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,4798171,2022-01-24 10:35,,Confirmed,yes,,yes,,
3,Physical Flow,day,2017-01-04 06:00,2017-01-05 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,5278315,2022-01-24 10:35,,Confirmed,yes,,yes,,
4,Physical Flow,day,2017-01-05 06:00,2017-01-06 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,7428077,2022-01-24 10:35,,Confirmed,yes,,yes,,
5,Physical Flow,day,2017-01-06 06:00,2017-01-07 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,7429595,2022-01-24 10:35,,Confirmed,yes,,yes,,
6,Physical Flow,day,2017-01-07 06:00,2017-01-08 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,4805751,2022-01-24 10:35,,Confirmed,yes,,yes,,
7,Physical Flow,day,2017-01-08 06:00,2017-01-09 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,4797641,2022-01-24 10:35,,Confirmed,yes,,yes,,
8,Physical Flow,day,2017-01-09 06:00,2017-01-10 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,7195305,2022-01-24 10:35,,Confirmed,yes,,yes,,
9,Physical Flow,day,2017-01-10 06:00,2017-01-11 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,6001093,2022-01-24 10:35,,Confirmed,yes,,yes,,
