date_datawrapper,2023,2022,Mittelwert,Maximum,Minimum
2023-01-01,90.52,50.35,75.46545454545455,96.91,60.74
2023-01-02,90.64,50.57,75.13818181818182,96.53,60.56
2023-01-03,90.72,50.62,74.75090909090909,96.28,60.16
2023-01-04,90.75,50.48,74.34636363636363,96.12,59.46
2023-01-05,90.81,50.02,73.89272727272727,95.94,58.79
2023-01-06,90.97,49.51,73.46363636363637,95.63,58.31
2023-01-07,91.09,48.98,72.99636363636364,95.25,57.99
2023-01-08,91.2,48.61,72.59818181818181,94.86,58.08
2023-01-09,91.11,48.23,72.20181818181818,94.69,58.27
2023-01-10,91.01,47.37,71.77,94.54,57.89
2023-01-11,90.73,46.45,71.29818181818182,94.34,57.47
2023-01-12,90.64,45.59,70.85181818181819,94.09,56.91
2023-01-13,90.53,44.82,70.43363636363637,93.83,56.09
2023-01-14,90.47,44.04,69.98636363636363,93.64,55.51
2023-01-15,90.38,43.54,69.47727272727273,93.43,54.83
2023-01-16,89.87,43.17,68.95818181818181,93.19,53.75
2023-01-17,89.32,42.61,68.34272727272727,92.92,52.55
2023-01-18,88.7,41.84,67.64999999999999,92.64,51.26
2023-01-19,87.95,41.23,66.99,92.26,50.09
2023-01-20,87.15,40.51,66.32727272727273,91.6,49.0
2023-01-21,86.52,39.66,65.68,90.91,48.26
2023-01-22,85.84,39.12,65.05000000000001,90.27,47.46
2023-01-23,84.86,38.62,64.43454545454546,89.56,46.32
2023-01-24,83.79,37.78,63.845454545454544,88.86,45.17
2023-01-25,82.81,36.9,63.29909090909091,88.37,43.93
2023-01-26,82.1,36.16,62.77090909090909,87.98,42.87
2023-01-27,81.08,35.62,62.27909090909091,87.59,41.98
2023-01-28,80.36,35.04,61.81272727272728,87.02,41.38
2023-01-29,79.79,34.84,61.36363636363637,86.51,40.84
2023-01-30,79.2,34.64,60.83909090909091,86.04,40.19
2023-01-31,78.6,34.14,60.31636363636364,85.88,39.52
2023-02-01,78.15,33.81,59.804545454545455,85.84,39.04
2023-02-02,77.73,33.46,59.27454545454545,85.77,38.57
2023-02-03,77.53,33.21,58.71454545454546,85.46,38.2
2023-02-04,77.25,33.03,58.157272727272726,85.08,37.97
2023-02-05,77.17,32.96,57.58909090909091,84.59,37.69
2023-02-06,76.26,32.89,56.99181818181818,83.83,37.11
2023-02-07,75.4,32.58,56.38272727272727,83.39,36.5
2023-02-08,,32.35,55.75,83.04,35.8
2023-02-09,,32.15,55.08363636363636,82.91,34.83
2023-02-10,,31.75,54.47818181818182,82.69,33.83
2023-02-11,,31.4,53.86636363636364,82.38,33.28
2023-02-12,,31.17,53.28636363636363,81.98,33.07
2023-02-13,,31.07,52.70636363636363,81.59,32.4
2023-02-14,,30.91,52.18363636363636,81.34,31.78
2023-02-15,,30.69,51.78454545454545,81.29,31.49
2023-02-16,,30.48,51.42090909090909,81.31,31.1
2023-02-17,,30.31,51.095454545454544,81.13,30.68
2023-02-18,,30.14,50.76090909090909,80.89,30.45
2023-02-19,,29.94,50.58636363636364,80.68,30.23
2023-02-20,,29.83,50.224545454545456,80.48,29.96
2023-02-21,,29.56,49.57545454545455,80.28,29.78
2023-02-22,,29.22,49.16181818181818,80.22,29.59
2023-02-23,,29.0,48.77090909090909,80.18,29.38
2023-02-24,,28.9,48.358181818181826,79.95,29.07
2023-02-25,,28.64,47.95636363636363,79.76,28.85
2023-02-26,,28.44,47.56181818181819,79.34,28.69
2023-02-27,,28.3,47.15909090909091,78.73,28.37
2023-02-28,,27.89,46.74363636363637,78.17,26.88
2023-03-01,,27.33,46.331818181818186,77.95,25.56
2023-03-02,,26.87,45.96909090909091,77.36,24.21
2023-03-03,,26.48,45.64181818181818,77.1,23.31
2023-03-04,,26.11,45.34,76.78,22.71
2023-03-05,,25.89,45.03909090909091,76.39,22.13
2023-03-06,,25.67,45.091818181818184,76.16,24.72
2023-03-07,,25.17,44.75272727272728,75.98,23.83
2023-03-08,,24.75,44.56818181818182,75.94,23.76
2023-03-09,,24.47,44.38,75.71,23.42
2023-03-10,,24.59,44.265454545454546,75.56,23.29
2023-03-11,,24.58,44.11818181818182,75.51,23.22
2023-03-12,,24.68,43.950909090909086,75.48,23.01
2023-03-13,,24.84,43.79090909090909,75.31,22.79
2023-03-14,,24.79,43.61363636363637,75.12,22.58
2023-03-15,,24.68,43.47909090909091,75.06,22.33
2023-03-16,,24.67,43.38545454545454,74.94,22.1
2023-03-17,,24.61,43.27272727272727,74.83,21.76
2023-03-18,,24.54,43.10636363636364,74.76,21.31
2023-03-19,,24.76,42.93181818181818,74.59,20.73
2023-03-20,,24.93,42.765454545454546,74.44,20.2
2023-03-21,,24.52,42.68363636363636,74.28,19.71
2023-03-22,,24.55,42.54454545454546,74.12,19.26
2023-03-23,,24.65,42.35454545454546,73.72,18.9
2023-03-24,,25.04,42.304545454545455,73.39,18.74
2023-03-25,,25.16,42.158181818181816,73.03,18.66
2023-03-26,,25.55,42.08181818181818,72.7,18.44
2023-03-27,,25.87,42.00909090909091,72.55,18.18
2023-03-28,,26.08,42.00727272727273,72.59,17.97
2023-03-29,,26.27,41.97,72.52,17.79
2023-03-30,,26.38,42.02181818181818,72.14,17.72
2023-03-31,,26.27,42.02909090909091,71.55,18.35
2023-04-01,,26.97,42.82090909090909,72.53,18.5
2023-04-02,,27.0,42.74090909090909,72.37,18.53
2023-04-03,,26.99,42.81181818181818,72.26,18.57
2023-04-04,,26.93,42.83272727272727,72.33,18.74
2023-04-05,,26.8,42.83,72.5,18.75
2023-04-06,,27.11,42.902727272727276,72.66,18.69
2023-04-07,,27.42,42.941818181818185,72.82,18.49
2023-04-08,,27.8,42.99272727272727,72.98,18.19
2023-04-09,,28.1,42.99090909090909,73.19,17.98
2023-04-10,,28.43,43.07909090909091,73.46,17.86
2023-04-11,,28.61,43.08181818181818,73.78,17.81
2023-04-12,,28.92,43.14363636363637,74.17,17.81
2023-04-13,,29.29,43.18454545454545,74.42,17.96
2023-04-14,,29.71,43.23636363636364,74.42,18.26
2023-04-15,,30.1,43.31636363636364,74.45,18.53
2023-04-16,,30.57,43.448181818181816,74.6,18.95
2023-04-17,,31.07,43.592727272727274,74.78,19.3
2023-04-18,,31.5,43.764545454545456,75.2,19.67
2023-04-19,,31.89,43.95727272727273,75.61,20.0
2023-04-20,,32.11,44.162727272727274,75.84,20.35
2023-04-21,,32.38,44.42545454545455,76.11,20.65
2023-04-22,,32.72,44.68909090909091,76.38,20.94
2023-04-23,,33.18,44.91,76.58,21.25
2023-04-24,,33.66,45.1390909090909,76.83,21.6
