date,2022,Mittelwert,Maximum,Minimum
2022-01-01,54.18,75.44800000000001,96.91,60.74
2022-01-02,54.44,75.111,96.53,60.56
2022-01-03,54.5,74.738,96.28,60.16
2022-01-04,54.35,74.33,96.12,59.46
2022-01-05,53.85,73.844,95.94,58.79
2022-01-06,53.3,73.385,95.63,58.31
2022-01-07,52.72,72.893,95.25,57.99
2022-01-08,52.31,72.466,94.86,58.08
2022-01-09,51.9,72.072,94.69,58.27
2022-01-10,50.96,71.652,94.54,57.89
2022-01-11,49.95,71.174,94.34,57.47
2022-01-12,49.02,70.701,94.09,56.91
2022-01-13,48.17,70.24600000000001,93.83,56.09
2022-01-14,47.32,69.784,93.64,55.51
2022-01-15,46.76,69.259,93.43,54.83
2022-01-16,46.35,68.72200000000001,93.19,53.75
2022-01-17,45.72,68.08,92.92,52.55
2022-01-18,44.89,67.378,92.64,51.26
2022-01-19,44.21,66.70599999999999,92.26,50.09
2022-01-20,43.43,66.03999999999999,91.6,49.0
2022-01-21,42.52,65.41799999999999,90.91,48.26
2022-01-22,41.91,64.81,90.27,47.46
2022-01-23,41.36,64.219,89.56,46.32
2022-01-24,40.44,63.65599999999999,88.86,45.17
2022-01-25,39.49,63.129,88.37,43.93
2022-01-26,38.66,62.581999999999994,87.98,42.87
2022-01-27,38.06,62.063,87.59,41.98
2022-01-28,37.39,61.596000000000004,87.02,41.38
2022-01-29,37.14,61.161,86.51,40.84
2022-01-30,36.88,60.64399999999999,86.04,40.19
2022-01-31,36.29,60.13100000000001,85.88,39.52
2022-02-01,35.89,59.620000000000005,85.84,39.04
2022-02-02,35.47,59.068999999999996,85.77,38.57
2022-02-03,35.17,58.487,85.46,38.2
2022-02-04,34.94,57.923,85.08,37.97
2022-02-05,34.84,57.35,84.59,37.69
2022-02-06,34.73,56.725,83.83,37.11
2022-02-07,34.36,56.073,83.39,36.5
2022-02-08,34.09,55.39300000000001,83.04,35.8
2022-02-09,33.85,54.669,82.91,34.83
2022-02-10,33.38,54.009,82.69,33.83
2022-02-11,32.95,53.366,82.38,33.28
2022-02-12,32.63,52.763999999999996,81.98,33.07
2022-02-13,32.47,52.15500000000001,81.59,32.4
2022-02-14,32.25,51.602,81.34,31.78
2022-02-15,31.97,51.174,81.29,31.49
2022-02-16,31.72,50.774,81.31,31.1
2022-02-17,31.5,50.411,81.13,30.68
2022-02-18,31.27,50.05,80.89,30.45
2022-02-19,31.01,49.870999999999995,80.68,30.23
2022-02-20,30.85,49.486000000000004,80.48,29.96
2022-02-21,30.51,49.098,80.28,29.78
2022-02-22,30.12,48.657,80.22,29.59
2022-02-23,29.83,48.231,80.18,29.38
2022-02-24,29.69,47.782,79.95,29.07
2022-02-25,29.34,47.351,79.76,28.85
2022-02-26,29.08,46.908,79.34,28.69
2022-02-27,28.89,46.468,78.73,28.37
2022-02-28,28.39,46.011,78.17,26.88
2022-03-01,27.76,45.575,77.95,25.56
2022-03-02,27.23,45.172000000000004,77.36,24.21
2022-03-03,26.77,44.806,77.1,23.31
2022-03-04,26.33,44.475,76.78,22.71
2022-03-05,26.06,44.152,76.39,22.13
2022-03-06,25.78,43.902,76.16,21.57
2022-03-07,25.19,43.559000000000005,75.98,21.04
2022-03-08,24.7,43.305,75.94,20.48
2022-03-09,24.35,43.101,75.71,20.23
2022-03-10,24.44,42.973,75.56,20.12
2022-03-11,24.39,42.827,75.51,20.09
2022-03-12,24.49,42.660000000000004,75.48,19.92
2022-03-13,24.65,42.489,75.31,19.71
2022-03-14,24.55,42.288,75.12,19.39
2022-03-15,24.4,42.144,75.06,19.2
2022-03-16,24.36,42.029,74.94,18.95
2022-03-17,24.27,41.885000000000005,74.83,18.54
2022-03-18,24.19,41.707,74.76,18.06
2022-03-19,24.41,41.515,74.59,17.36
2022-03-20,24.58,41.333,74.44,16.74
2022-03-21,24.52,41.230000000000004,74.28,16.11
2022-03-22,24.57,41.057,74.12,15.54
2022-03-23,24.69,40.825,73.72,15.18
2022-03-24,25.08,40.745999999999995,73.39,15.03
2022-03-25,25.22,40.581,73.03,14.93
2022-03-26,25.63,40.512,72.7,14.75
2022-03-27,25.98,40.448,72.55,14.6
2022-03-28,26.19,40.456,72.59,14.47
2022-03-29,26.4,40.416,72.52,14.33
2022-03-30,26.52,40.454,72.14,14.31
2022-03-31,26.27,40.445,71.55,14.46
2022-04-01,26.97,41.094,72.53,14.29
2022-04-02,27.0,40.977999999999994,72.37,14.25
2022-04-03,26.99,41.032,72.26,14.26
2022-04-04,26.94,41.092,72.33,14.36
2022-04-05,26.8,41.093,72.5,14.37
2022-04-06,27.11,41.149,72.66,14.41
2022-04-07,27.42,41.161,72.82,14.6
2022-04-08,27.8,41.198,72.98,14.88
2022-04-09,28.1,41.277,73.19,15.05
2022-04-10,28.43,41.374,73.46,15.15
2022-04-11,28.61,41.386,73.78,15.26
2022-04-12,28.92,41.468,74.17,15.4
2022-04-13,29.29,41.511,74.42,15.48
2022-04-14,29.71,41.557,74.42,15.67
2022-04-15,30.1,41.626,74.45,15.9
2022-04-16,30.57,41.738,74.6,16.0
