date_datawrapper,2023,2022,Mittelwert,Maximum,Minimum
2023-01-01,90.48,54.38,75.43181818181819,96.86,60.74
2023-01-02,90.6,54.65,75.10545454545455,96.48,60.56
2023-01-03,90.68,54.72,74.71636363636364,96.23,60.16
2023-01-04,90.72,54.59,74.30181818181818,96.08,59.46
2023-01-05,90.77,54.09,73.84818181818183,95.9,58.79
2023-01-06,90.93,53.54,73.42090909090909,95.59,58.31
2023-01-07,91.06,52.97,72.96272727272728,95.21,57.99
2023-01-08,91.17,52.57,72.57454545454544,94.83,58.08
2023-01-09,91.08,52.17,72.18727272727273,94.66,58.27
2023-01-10,90.98,51.21,71.76181818181819,94.51,57.89
2023-01-11,90.7,50.2,71.29181818181819,94.31,57.47
2023-01-12,90.61,49.25,70.84363636363636,94.06,56.87
2023-01-13,90.5,48.38,70.41454545454545,93.81,55.93
2023-01-14,90.44,47.52,69.96727272727273,93.63,55.35
2023-01-15,90.36,46.97,69.45727272727272,93.41,54.67
2023-01-16,89.85,46.56,68.93727272727273,93.18,53.57
2023-01-17,89.3,45.92,68.32090909090908,92.91,52.37
2023-01-18,88.68,45.08,67.6290909090909,92.64,51.08
2023-01-19,87.92,44.4,66.96636363636364,92.26,49.91
2023-01-20,87.12,43.61,66.30363636363637,91.6,48.82
2023-01-21,86.49,42.7,65.65181818181817,90.91,48.07
2023-01-22,85.81,42.09,65.01545454545455,90.27,47.26
2023-01-23,84.83,41.53,64.3990909090909,89.56,46.11
2023-01-24,83.76,40.61,63.810909090909085,88.85,44.97
2023-01-25,82.78,39.65,63.26,88.37,43.73
2023-01-26,82.06,38.81,62.73272727272727,87.98,42.68
2023-01-27,81.04,38.21,62.24090909090909,87.59,41.79
2023-01-28,80.33,37.53,61.775454545454544,87.03,41.19
2023-01-29,79.75,37.28,61.32727272727273,86.5,40.66
2023-01-30,79.16,37.02,60.80363636363636,86.03,40.02
2023-01-31,78.73,36.44,60.28090909090909,85.88,39.35
2023-02-01,78.28,36.04,59.76636363636363,85.84,38.86
2023-02-02,77.87,35.63,59.23727272727273,85.77,38.4
2023-02-03,77.67,35.32,58.67545454545455,85.46,38.03
2023-02-04,77.39,35.1,58.11272727272728,85.08,37.74
2023-02-05,77.31,34.99,57.54363636363637,84.58,37.46
2023-02-06,76.4,34.89,56.946363636363635,83.82,36.89
2023-02-07,75.61,34.5,56.33818181818182,83.36,36.35
2023-02-08,74.87,34.23,55.71272727272728,83.0,35.73
2023-02-09,74.12,34.0,55.053636363636365,82.87,34.85
2023-02-10,73.55,33.54,54.45272727272727,82.66,33.91
2023-02-11,73.28,33.09,53.841818181818184,82.35,33.36
2023-02-12,73.09,32.78,53.25636363636364,81.95,33.12
2023-02-13,72.68,32.61,52.657272727272726,81.55,32.28
2023-02-14,72.33,32.38,52.13181818181818,81.29,31.66
2023-02-15,72.03,32.11,51.73181818181818,81.23,31.37
2023-02-16,71.75,31.84,51.36818181818182,81.25,30.98
2023-02-17,71.69,31.63,51.041818181818186,81.07,30.57
2023-02-18,71.75,31.4,50.709090909090904,80.83,30.34
2023-02-19,71.76,31.15,50.53363636363636,80.63,30.12
2023-02-20,71.67,30.99,50.17090909090909,80.42,29.85
2023-02-21,71.53,30.65,49.527272727272724,80.22,29.67
2023-02-22,71.32,30.26,49.11272727272728,80.15,29.48
2023-02-23,71.19,29.98,48.723636363636366,80.12,29.27
2023-02-24,71.02,29.83,48.309999999999995,79.89,28.96
2023-02-25,70.88,29.48,47.907272727272726,79.7,28.75
2023-02-26,70.65,29.23,47.51090909090909,79.26,28.59
2023-02-27,69.97,29.03,47.10727272727272,78.63,28.15
2023-02-28,69.37,28.57,46.690909090909095,78.07,26.64
2023-03-01,68.78,27.94,46.165454545454544,77.85,25.33
2023-03-02,68.27,27.41,45.81363636363636,77.27,23.97
2023-03-03,67.81,26.96,45.50454545454546,77.01,23.07
